method_id,method_label,selection_basis,member_family,public_dev_average_score,released_phase2_average_score,phase2_eval_jobs,phase2_eval_1_score,phase2_eval_2_score,phase2_eval_3_score,improvement_vs_single_checkpoint_sac_reward_v2,delta_vs_chesca_reproduction_phase2,notes
all_central_mean_action,All-central SAC mean-action ensemble,mean action across central SAC checkpoints,central_baseline+central_reward_v1+central_reward_v2,0.526385843754,0.616317848365,3,0.659897565842,0.636207640171,0.552848339081,0.036385151635,0.107979774476,best SAC-only ensemble result
critic_guided_refinement,SAC critic-guided constrained refinement,local critic-guided action refinement of ensemble actions,central SAC ensemble,0.522458255291,0.616608341535,3,0.660577952862,0.635858476162,0.553388595581,0.036094658465,0.108270267646,strong public-dev score with slightly weaker held-out mean than all-central mean action
central_baseline_mean_action,Central-baseline SAC mean-action ensemble,mean action across central baseline SAC checkpoints,central_baseline,0.542780697346,0.617237806320,3,0.661504626274,0.640672564507,0.549536228180,0.035465193680,0.108899732431,baseline-only ensemble ablation
temporal_bootstrap_robust,Temporal-bootstrap SAC ensemble,bootstrap-selected robust action ensemble,central SAC ensemble,0.532866418362,0.618058443069,3,0.661886811256,0.637937664986,0.554350852966,0.034644556931,0.109720369180,robust selection ablation
weighted_public_dev_ensemble,Weighted SAC ensemble,weighted baseline plus best public-dev members,central_baseline+selected central reward checkpoints,0.513691425323,0.619090735912,3,0.660094380379,0.640159904957,0.557017922401,0.033612264088,0.110752662023,strong public-dev row among ensemble ablations
